metric,mean,sd,se,min,max
latency_ms,77218.75837658,1823.1030177523103,257.82570133086347,73330.903608,81451.89321
speedup_vs_deterministic_pct,21.4655686368006,1.7307786270126764,0.24476906077868113,17.33781875558,25.32429052925
skipped_blocks,7.3,2.0922597879824014,0.29589021681725686,4.0,13.0
active_blocks,149.7,2.0922597879824014,0.29589021681725686,144.0,153.0
mae_vs_det,0.0454406909352438,0.009544094686534815,0.0013497388146270527,0.02402086094198,0.06692134027402
mean_signed_vs_det,0.00043298817283850613,0.025665816048779308,0.003629694514555674,-0.04455633807756,0.05952395294235
pearson_vs_det,0.990439107097254,0.0033405194826320746,0.00047242079577098343,0.9807650646402,0.9968718436207
top_decile_agreement,0.928,0.1050558646334299,0.014857142857142855,0.6,1.0
mae_vs_plain,0.0454406909272946,0.009544094686560246,0.0013497388146306492,0.0240208609082,0.06692134023152
pearson_vs_plain,0.990439107097702,0.003340519484439465,0.000472420796026587,0.9807650646269,0.9968718436282
